	59 V
194741	-0.00329256
194774	-0.00365542
194807	-0.00328625
194839	-0.00366505
194875	-0.00329042
194908	-0.00366386
194942	-0.0032837
194977	-0.00366618
195010	-0.00328542
195043	-0.00366595
195090	-0.00329583
195124	-0.00366226
195162	-0.0032872
195195	-0.0036616
195229	-0.00329179
195264	-0.00366309
195297	-0.00329024
195330	-0.00366238
195365	-0.0032878
195399	-0.00365911
195431	-0.00328554
195464	-0.0036625
195498	-0.00328084
195532	-0.00366624
195568	-0.00328798
195601	-0.00366303
195634	-0.00327763
195668	-0.00366095
195701	-0.00328607
195733	-0.00366476
195786	-0.00329309
195819	-0.0036666
195852	-0.00329161
195885	-0.00366535
195918	-0.00328042
195951	-0.00366095
195984	-0.00328298
196017	-0.00366511
196050	-0.0032834
196083	-0.00366654
196137	-0.00328215
196170	-0.00366773
196204	-0.00329184
196239	-0.00366488
196272	-0.00329369
196306	-0.00367082
196339	-0.00328001
196371	-0.00367189
196405	-0.00328744
196438	-0.0036572
196470	-0.00329482
196503	-0.00365685
196535	-0.00328887
196568	-0.00366957
196621	-0.00328857
196655	-0.00366654
196688	-0.00328191
196721	-0.00366172
196754	-0.0032919
196786	-0.0036625
196839	-0.00329678
196872	-0.0036572
196905	-0.00329119
196937	-0.00366648
196969	-0.00328941
197001	-0.00366559
197033	-0.00328976
197066	-0.0036616
197098	-0.0032928
197130	-0.00366339
197184	-0.00328518
197216	-0.00365244
197248	-0.00328322
197280	-0.00365762
197312	-0.00328334
197344	-0.00365322
197378	-0.00328762
197410	-0.00365655
197443	-0.00328387
197476	-0.00366214
197508	-0.00329149
197547	-0.00365256
197580	-0.00329196
197614	-0.00365964
197667	-0.0032897
197700	-0.00366172
197733	-0.00328899
197766	-0.00366297
197801	-0.0032809
197834	-0.0036484
197888	-0.00329535
197920	-0.00365
197952	-0.00328929
197985	-0.00366143
198019	-0.00329946
198051	-0.00365732
198084	-0.00329351
198119	-0.0036569
198153	-0.00329672
198188	-0.00366226
198224	-0.003295
198257	-0.00365762
198290	-0.00328929
198325	-0.00366416
198359	-0.00329268
198392	-0.00366291
198425	-0.00329303
198457	-0.00365738
198494	-0.00329125
198526	-0.00365869
198559	-0.00330154
198596	-0.00365738
198628	-0.00329345
198660	-0.00365536
198710	-0.00329589
198742	-0.00366273
198777	-0.00329012
198809	-0.00366315
198841	-0.00328459
198876	-0.00365708
198930	-0.00329315
198963	-0.00365518
198996	-0.00329958
199031	-0.00365096
199065	-0.00329357
199100	-0.00365476
199135	-0.00329083
199167	-0.00366279
199200	-0.0032944
199233	-0.00365054
199265	-0.00329654
199298	-0.00366339
199331	-0.0032969
199363	-0.00365911
199399	-0.00329268
199432	-0.00365137
199466	-0.00328643
199499	-0.00365934
199532	-0.00329785
199565	-0.00365988
199598	-0.00330422
199631	-0.00365066
199665	-0.0032975
199698	-0.00365833
199751	-0.0032991
199785	-0.00365577
199818	-0.00329054
199850	-0.00365137
199883	-0.00330523
199916	-0.00365054
199969	-0.00329791
200002	-0.00365357
200034	-0.00329773
200066	-0.00365982
200098	-0.00329488
200150	-0.0036531
200182	-0.00329773
200215	-0.00365631
200246	-0.00329934
200279	-0.00365857
200311	-0.00330374
200343	-0.00364334
200376	-0.00330243
200408	-0.00365375
200440	-0.00329274
200472	-0.00365244
200504	-0.00329434
200537	-0.0036556
200570	-0.00328881
200602	-0.0036534
200636	-0.00329678
200670	-0.00365024
200704	-0.00329791
200738	-0.00365589
200791	-0.00329732
200824	-0.003655
200864	-0.00329494
200906	-0.00365375
200952	-0.00330148
200987	-0.00364917
201022	-0.00330255
201054	-0.00365286
201087	-0.00330136
201123	-0.00366166
201154	-0.00329993
201186	-0.00365197
201218	-0.00329119
201252	-0.00365161
201284	-0.00329625
201318	-0.00365185
201350	-0.00330059
201383	-0.00364983
201419	-0.00329821
201453	-0.00365334
201484	-0.00330112
201517	-0.00366113
201549	-0.00330172
201581	-0.00365905
201613	-0.00329411
201645	-0.00365399
201679	-0.00329643
201711	-0.0036456
201744	-0.00330612
201777	-0.00364114
201828	-0.00329797
201863	-0.00364953
201916	-0.00330713
201948	-0.00365815
202002	-0.00330106
202034	-0.00364774
202067	-0.00329964
202098	-0.00364126
202130	-0.0033104
202162	-0.00364852
202193	-0.00330059
202225	-0.00364768
202256	-0.00329756
202289	-0.003644
202321	-0.00330237
202353	-0.00364453
202384	-0.00330743
202416	-0.00363882
202466	-0.00330053
202498	-0.00365256
202529	-0.00330178
202563	-0.00364126
202594	-0.00330059
202625	-0.00363817
202656	-0.00330392
202687	-0.00364953
