	30 V
23811	-0.00296438
23843	-0.00219666
23893	-0.00298407
23928	-0.0022041
23960	-0.00298871
23992	-0.00219631
24025	-0.00298104
24058	-0.00219869
24091	-0.0029758
24127	-0.00221796
24160	-0.00298228
24193	-0.00220755
24247	-0.00298187
24280	-0.00219738
24313	-0.00297229
24371	-0.00220172
24405	-0.0029827
24439	-0.00220856
24472	-0.00296813
24506	-0.00220559
24539	-0.00297283
24572	-0.00220999
24606	-0.00298187
24639	-0.00220749
24673	-0.00297931
24706	-0.00220452
24740	-0.00297532
24774	-0.00221772
24810	-0.00297854
24844	-0.00221279
24880	-0.00296842
24915	-0.00221475
24948	-0.00297336
24981	-0.00221564
25014	-0.00297473
25048	-0.00221707
25084	-0.0029802
25118	-0.00220487
25151	-0.00297764
25185	-0.00220904
25220	-0.00298175
25256	-0.00220678
25289	-0.00297634
25327	-0.00221136
25364	-0.0029824
25416	-0.00221112
25450	-0.00297306
25484	-0.00221641
25519	-0.00297152
25553	-0.00221457
25589	-0.00297146
25623	-0.00221356
25657	-0.00297973
25690	-0.00221772
25725	-0.002973
25759	-0.00221332
25795	-0.00297378
25833	-0.0022223
25871	-0.00296486
25907	-0.00221891
25943	-0.00296795
25976	-0.0022135
26010	-0.00297723
26046	-0.00221665
26080	-0.00296938
26114	-0.00221392
26152	-0.00297562
26187	-0.00221505
26223	-0.00296991
26256	-0.00222058
26292	-0.00297187
26327	-0.00221778
26362	-0.002978
26397	-0.00222724
26432	-0.00297681
26466	-0.00221231
26503	-0.00298175
26539	-0.00221255
26573	-0.00296194
26607	-0.00222016
26641	-0.00296622
26676	-0.00222629
26713	-0.00297461
26747	-0.00222427
26781	-0.00297753
26815	-0.00221897
26849	-0.00296146
26885	-0.00222801
26923	-0.00296468
26956	-0.00222099
26992	-0.00296497
27026	-0.00221106
27059	-0.00297443
27096	-0.00221177
27130	-0.00296515
27164	-0.00221772
27203	-0.00297063
27238	-0.0022176
27272	-0.00297039
27307	-0.00221695
27341	-0.00296486
27374	-0.00221171
27408	-0.00296718
27444	-0.00221737
27480	-0.00297604
27514	-0.00222986
27548	-0.00297015
27582	-0.00223432
27616	-0.00296545
27651	-0.0022176
27684	-0.00296105
27718	-0.00223426
27754	-0.00296206
27788	-0.00221392
27821	-0.00295992
27855	-0.00222325
27897	-0.00296706
27931	-0.00222748
27967	-0.00295677
28001	-0.00221915
28047	-0.00296474
28086	-0.00221653
28120	-0.00296658
28157	-0.00221731
28191	-0.00296087
28224	-0.00222064
28258	-0.00296146
28292	-0.00223045
28326	-0.00295415
28362	-0.00223051
28395	-0.00295861
28430	-0.00221148
28464	-0.00297651
28497	-0.00222117
28530	-0.00296825
28565	-0.00223349
28600	-0.002967
28634	-0.0022383
28667	-0.00295718
28702	-0.00222724
28737	-0.00296908
28771	-0.00222189
28803	-0.0029573
28837	-0.00222088
28871	-0.00296486
28905	-0.00222361
28939	-0.00295314
28972	-0.00223604
29005	-0.00295355
29038	-0.00223283
29093	-0.00295903
29126	-0.00223598
29163	-0.00296105
29200	-0.0022251
29235	-0.0029545
29268	-0.00223176
29300	-0.00296111
29334	-0.00223289
29368	-0.0029482
29400	-0.00222682
29435	-0.00295183
29468	-0.00223485
29500	-0.00295462
29534	-0.00222861
29579	-0.00295314
29613	-0.00222998
29648	-0.00295718
29682	-0.00222599
29715	-0.00296325
29748	-0.00223093
29783	-0.00295147
29816	-0.0022298
29851	-0.00295665
29884	-0.00222439
29924	-0.00295296
29957	-0.00224187
29996	-0.00295837
30031	-0.00223545
30065	-0.00295748
30099	-0.00224419
30133	-0.00295052
30168	-0.00223051
30201	-0.00295355
30235	-0.0022323
30292	-0.00294987
30328	-0.00223682
30361	-0.00294576
30395	-0.00223497
30432	-0.00295296
30466	-0.00223355
30499	-0.00294636
30536	-0.00223301
30571	-0.00295373
30607	-0.00224098
30641	-0.00295076
30674	-0.00223825
30713	-0.00295332
30746	-0.00223593
30780	-0.00294261
30813	-0.0022383
30847	-0.00295105
30881	-0.0022417
30916	-0.00294344
30950	-0.00223474
30984	-0.00294523
31018	-0.0022417
31052	-0.00294433
31086	-0.00224336
31119	-0.00293821
31153	-0.00223961
31189	-0.0029463
31223	-0.00223711
31257	-0.00294279
31291	-0.00224628
31347	-0.00294856
31381	-0.00224247
31415	-0.00294118
31448	-0.00223943
31482	-0.00293642
31517	-0.00224235
31551	-0.00294409
31585	-0.00222956
31619	-0.00294606
31652	-0.00223521
31697	-0.00294927
31743	-0.00224544
31788	-0.00294749
31821	-0.002237
31853	-0.00294796
31886	-0.00224384
31919	-0.00294731
31952	-0.00224693
31985	-0.00295611
32017	-0.00224747
32051	-0.00294707
32085	-0.00224752
32118	-0.00295611
32151	-0.00224693
32185	-0.00293886
32219	-0.0022367
32255	-0.00294059
32289	-0.00224158
32323	-0.00294755
32356	-0.00225389
32390	-0.00294915
32425	-0.00224158
32458	-0.00294207
32492	-0.00225216
32525	-0.002946
32560	-0.00224562
32593	-0.00294808
32635	-0.00224925
32676	-0.00294059
32713	-0.00223652
32747	-0.0029344
32781	-0.00224818
32834	-0.00295302
32868	-0.00224586
32905	-0.00294606
32940	-0.00224687
32975	-0.00294493
33009	-0.00224193
33043	-0.00294481
33078	-0.0022524
33114	-0.00294047
33147	-0.0022433
33184	-0.00293916
33219	-0.00224645
33253	-0.00294023
33288	-0.00225294
33324	-0.00294427
33358	-0.00224764
33392	-0.00294267
33425	-0.00224687
33459	-0.0029413
33494	-0.00225222
33527	-0.00294737
33559	-0.00224152
33596	-0.00294154
33628	-0.00225038
33663	-0.00294415
33698	-0.00224616
