"Energy (eV)"	"Filtered"
1.16269e+4	9.96150e+8
1.16768e+4	1.01601e+9
1.17267e+4	1.03579e+9
1.17766e+4	1.05549e+9
1.18265e+4	1.07511e+9
1.18764e+4	1.09461e+9
1.19263e+4	1.11401e+9
1.19762e+4	1.13329e+9
1.20261e+4	1.15244e+9
1.20760e+4	1.17145e+9
1.21259e+4	1.19032e+9
1.21758e+4	1.20903e+9
1.22257e+4	1.22759e+9
1.22756e+4	1.24598e+9
1.23255e+4	1.26419e+9
1.23754e+4	1.28222e+9
1.24253e+4	1.30007e+9
1.24752e+4	1.31772e+9
1.25251e+4	1.33518e+9
1.25750e+4	1.35243e+9
1.26249e+4	1.36946e+9
1.26748e+4	1.38629e+9
1.27247e+4	1.40289e+9
1.27746e+4	1.41927e+9
1.28245e+4	1.43542e+9
1.28744e+4	1.45134e+9
1.29243e+4	1.46701e+9
1.29742e+4	1.48245e+9
1.30241e+4	1.49765e+9
1.30740e+4	1.51259e+9
1.31239e+4	1.52729e+9
1.31738e+4	1.54173e+9
1.32237e+4	1.55592e+9
1.32736e+4	1.56985e+9
1.33235e+4	1.58352e+9
1.33734e+4	1.59693e+9
1.34233e+4	1.61007e+9
1.34732e+4	1.62295e+9
1.35231e+4	1.63556e+9
1.35730e+4	1.64791e+9
1.36229e+4	1.65999e+9
1.36728e+4	1.67179e+9
1.37227e+4	1.68333e+9
1.37726e+4	1.69460e+9
1.38225e+4	1.70560e+9
1.38724e+4	1.71632e+9
1.39223e+4	1.72678e+9
1.39722e+4	1.73696e+9
1.40221e+4	1.74687e+9
1.40720e+4	1.75652e+9
1.41219e+4	1.76589e+9
1.41718e+4	1.77500e+9
1.42217e+4	1.78384e+9
1.42716e+4	1.79241e+9
1.43215e+4	1.80072e+9
1.43714e+4	1.80876e+9
1.44213e+4	1.81653e+9
1.44712e+4	1.82405e+9
1.45211e+4	1.83130e+9
1.45710e+4	1.83830e+9
1.46209e+4	1.84504e+9
1.46708e+4	1.85152e+9
1.47207e+4	1.85775e+9
1.47706e+4	1.86372e+9
1.48205e+4	1.86945e+9
1.48704e+4	1.87493e+9
1.49203e+4	1.88016e+9
1.49702e+4	1.88514e+9
1.50201e+4	1.88989e+9
1.50700e+4	1.89439e+9
1.51199e+4	1.89866e+9
1.51698e+4	1.90269e+9
1.52197e+4	1.90650e+9
1.52696e+4	1.91007e+9
1.53195e+4	1.91341e+9
1.53694e+4	1.91652e+9
1.54193e+4	1.91942e+9
1.54692e+4	1.92209e+9
1.55191e+4	1.92455e+9
1.55690e+4	1.92679e+9
1.56189e+4	1.92882e+9
1.56688e+4	1.93064e+9
1.57187e+4	1.93225e+9
1.57686e+4	1.93366e+9
1.58185e+4	1.93487e+9
1.58684e+4	1.93587e+9
1.59183e+4	1.93668e+9
1.59682e+4	1.93730e+9
1.60181e+4	1.93773e+9
1.60680e+4	1.93797e+9
1.61179e+4	1.93802e+9
1.61678e+4	1.93790e+9
1.62177e+4	1.93759e+9
1.62676e+4	1.93711e+9
1.63175e+4	1.93645e+9
1.63674e+4	1.93562e+9
1.64173e+4	1.93462e+9
1.64672e+4	1.93346e+9
1.65171e+4	1.93213e+9
1.65670e+4	1.93064e+9
1.66169e+4	1.92900e+9
1.66668e+4	1.92720e+9
1.67167e+4	1.92525e+9
1.67666e+4	1.92315e+9
1.68165e+4	1.92090e+9
1.68664e+4	1.91851e+9
1.69163e+4	1.91598e+9
1.69662e+4	1.91330e+9
1.70161e+4	1.91050e+9
1.70660e+4	1.90755e+9
1.71159e+4	1.90448e+9
1.71658e+4	1.90128e+9
1.72157e+4	1.89795e+9
1.72656e+4	1.89450e+9
1.73155e+4	1.89093e+9
1.73654e+4	1.88724e+9
1.74153e+4	1.88344e+9
1.74652e+4	1.87952e+9
1.75151e+4	1.87549e+9
1.75650e+4	1.87135e+9
1.76149e+4	1.86710e+9
1.76648e+4	1.86275e+9
1.77147e+4	1.85830e+9
1.77646e+4	1.85375e+9
1.78145e+4	1.84911e+9
1.78644e+4	1.84437e+9
1.79143e+4	1.83953e+9
1.79642e+4	1.83461e+9
1.80141e+4	1.82959e+9
1.80640e+4	1.82449e+9
1.81139e+4	1.81931e+9
