     Energy       F.Density    GA.Brill.            PL            PC          PL45
         eV  ph/s/mr^2/0.1%  F.Dens/mm^2             -             -             -
4.64090e+03       3.894e+11    4.794e+11  9.595626e-01  0.000000e+00  0.000000e+00
4.69080e+03       3.894e+11    4.794e+11  9.594774e-01  0.000000e+00  0.000000e+00
4.74070e+03       3.893e+11    4.793e+11  9.593939e-01  0.000000e+00  0.000000e+00
4.79060e+03       3.893e+11    4.792e+11  9.593120e-01  0.000000e+00  0.000000e+00
4.84050e+03       3.892e+11    4.791e+11  9.592316e-01  0.000000e+00  0.000000e+00
4.89040e+03       3.890e+11    4.789e+11  9.591527e-01  0.000000e+00  0.000000e+00
4.94030e+03       3.888e+11    4.787e+11  9.590754e-01  0.000000e+00  0.000000e+00
4.99020e+03       3.886e+11    4.785e+11  9.589996e-01  0.000000e+00  0.000000e+00
5.04010e+03       3.884e+11    4.782e+11  9.589251e-01  0.000000e+00  0.000000e+00
5.09000e+03       3.881e+11    4.779e+11  9.588521e-01  0.000000e+00  0.000000e+00
5.13990e+03       3.879e+11    4.775e+11  9.587805e-01  0.000000e+00  0.000000e+00
5.18980e+03       3.875e+11    4.771e+11  9.587103e-01  0.000000e+00  0.000000e+00
5.23970e+03       3.872e+11    4.767e+11  9.586413e-01  0.000000e+00  0.000000e+00
5.28960e+03       3.868e+11    4.762e+11  9.585737e-01  0.000000e+00  0.000000e+00
5.33950e+03       3.864e+11    4.757e+11  9.585074e-01  0.000000e+00  0.000000e+00
5.38940e+03       3.860e+11    4.752e+11  9.584423e-01  0.000000e+00  0.000000e+00
5.43930e+03       3.855e+11    4.746e+11  9.583785e-01  0.000000e+00  0.000000e+00
5.48920e+03       3.851e+11    4.741e+11  9.583158e-01  0.000000e+00  0.000000e+00
5.53910e+03       3.846e+11    4.734e+11  9.582544e-01  0.000000e+00  0.000000e+00
5.58900e+03       3.840e+11    4.728e+11  9.581941e-01  0.000000e+00  0.000000e+00
5.63890e+03       3.835e+11    4.721e+11  9.581349e-01  0.000000e+00  0.000000e+00
5.68880e+03       3.829e+11    4.714e+11  9.580769e-01  0.000000e+00  0.000000e+00
5.73870e+03       3.823e+11    4.707e+11  9.580200e-01  0.000000e+00  0.000000e+00
5.78860e+03       3.817e+11    4.699e+11  9.579641e-01  0.000000e+00  0.000000e+00
5.83850e+03       3.811e+11    4.692e+11  9.579094e-01  0.000000e+00  0.000000e+00
5.88840e+03       3.804e+11    4.684e+11  9.578556e-01  0.000000e+00  0.000000e+00
5.93830e+03       3.797e+11    4.675e+11  9.578029e-01  0.000000e+00  0.000000e+00
5.98820e+03       3.791e+11    4.667e+11  9.577512e-01  0.000000e+00  0.000000e+00
6.03810e+03       3.783e+11    4.658e+11  9.577005e-01  0.000000e+00  0.000000e+00
6.08800e+03       3.776e+11    4.649e+11  9.576507e-01  0.000000e+00  0.000000e+00
6.13790e+03       3.769e+11    4.640e+11  9.576019e-01  0.000000e+00  0.000000e+00
6.18780e+03       3.761e+11    4.630e+11  9.575541e-01  0.000000e+00  0.000000e+00
6.23770e+03       3.753e+11    4.620e+11  9.575071e-01  0.000000e+00  0.000000e+00
6.28760e+03       3.745e+11    4.611e+11  9.574611e-01  0.000000e+00  0.000000e+00
6.33750e+03       3.737e+11    4.600e+11  9.574159e-01  0.000000e+00  0.000000e+00
6.38740e+03       3.728e+11    4.590e+11  9.573716e-01  0.000000e+00  0.000000e+00
6.43730e+03       3.720e+11    4.580e+11  9.573282e-01  0.000000e+00  0.000000e+00
6.48720e+03       3.711e+11    4.569e+11  9.572856e-01  0.000000e+00  0.000000e+00
6.53710e+03       3.702e+11    4.558e+11  9.572439e-01  0.000000e+00  0.000000e+00
6.58700e+03       3.693e+11    4.547e+11  9.572029e-01  0.000000e+00  0.000000e+00
6.63690e+03       3.684e+11    4.536e+11  9.571628e-01  0.000000e+00  0.000000e+00
6.68680e+03       3.675e+11    4.524e+11  9.571235e-01  0.000000e+00  0.000000e+00
6.73670e+03       3.665e+11    4.513e+11  9.570849e-01  0.000000e+00  0.000000e+00
6.78660e+03       3.656e+11    4.501e+11  9.570471e-01  0.000000e+00  0.000000e+00
6.83650e+03       3.646e+11    4.489e+11  9.570101e-01  0.000000e+00  0.000000e+00
6.88640e+03       3.636e+11    4.477e+11  9.569738e-01  0.000000e+00  0.000000e+00
6.93630e+03       3.626e+11    4.465e+11  9.569382e-01  0.000000e+00  0.000000e+00
6.98620e+03       3.616e+11    4.452e+11  9.569033e-01  0.000000e+00  0.000000e+00
7.03610e+03       3.606e+11    4.440e+11  9.568691e-01  0.000000e+00  0.000000e+00
7.08600e+03       3.596e+11    4.427e+11  9.568357e-01  0.000000e+00  0.000000e+00
7.13590e+03       3.586e+11    4.414e+11  9.568029e-01  0.000000e+00  0.000000e+00
7.18580e+03       3.575e+11    4.401e+11  9.567708e-01  0.000000e+00  0.000000e+00
